id,name,branch,location
219,University of Asia Pacific (UAP),Computer Engineering,Bangladesh
220,University of Asia Pacific (UAP),Information Technology,Bangladesh
221,University of Asia Pacific (UAP),Electronics and Communications Engineering,Bangladesh
222,University of Asia Pacific (UAP),Mechanical Engineering,Bangladesh
223,University of Asia Pacific (UAP),Electrical Engineering,Bangladesh
224,University of Asia Pacific (UAP),Civil Engineering,Bangladesh
225,Daffodil International University (DIU),Computer Science Engineering,Bangladesh
226,Daffodil International University (DIU),Computer Engineering,Bangladesh
227,Daffodil International University (DIU),Information Technology,Bangladesh
228,Daffodil International University (DIU),Electronics and Communications Engineering,Bangladesh
229,Daffodil International University (DIU),Mechanical Engineering,Bangladesh
230,Daffodil International University (DIU),Electrical Engineering,Bangladesh
231,Daffodil International University (DIU),Civil Engineering,Bangladesh
232,East West University (EWU),Computer Science Engineering,Bangladesh
233,East West University (EWU),Computer Engineering,Bangladesh
234,East West University (EWU),Information Technology,Bangladesh
235,East West University (EWU),Electronics and Communications Engineering,Bangladesh
236,East West University (EWU),Mechanical Engineering,Bangladesh
237,East West University (EWU),Electrical Engineering,Bangladesh
238,East West University (EWU),Civil Engineering,Bangladesh
239,Stamford University Bangladesh,Computer Science Engineering,Bangladesh
240,Stamford University Bangladesh,Computer Engineering,Bangladesh
241,Stamford University Bangladesh,Information Technology,Bangladesh
242,Stamford University Bangladesh,Electronics and Communications Engineering,Bangladesh
243,Stamford University Bangladesh,Mechanical Engineering,Bangladesh
244,Stamford University Bangladesh,Electrical Engineering,Bangladesh
245,Stamford University Bangladesh,Civil Engineering,Bangladesh
246,"Independent University, Bangladesh (IUB)",Computer Science Engineering,Bangladesh
247,"Independent University, Bangladesh (IUB)",Computer Engineering,Bangladesh
248,"Independent University, Bangladesh (IUB)",Information Technology,Bangladesh
249,"Independent University, Bangladesh (IUB)",Electronics and Communications Engineering,Bangladesh
250,"Independent University, Bangladesh (IUB)",Mechanical Engineering,Bangladesh
